Asset,Term,Beta,T_Stat,R2,N_Obs
EM_Value,CMA,0.0820895154187101,0.6152143462974182,0.5702005319112772,227
EM_Small,Alpha,-0.534061933291771,-2.0062136338087235,0.5676482409023469,178
EM_Small,Mkt-RF,0.871436207709671,14.671236825506673,0.5676482409023469,178
EM_Small,SMB,0.00184437725667338,0.019535227387627165,0.5676482409023469,178
EM_Small,HML,0.1402255097556632,1.1858703350066746,0.5676482409023469,178
EM_Small,RMW,-0.016159519496979136,-0.1582770273021394,0.5676482409023469,178
EM_Small,CMA,0.056051794503698786,0.37977192531042203,0.5676482409023469,178
US_IG_Short,Alpha,0.028158746829020535,0.5413520901407407,0.26110050996384515,199
US_IG_Short,Mkt-RF,0.0810617656905208,4.912090294145456,0.26110050996384515,199
US_IG_Short,SMB,0.013167547958961164,0.7007075650128279,0.26110050996384515,199
US_IG_Short,HML,-0.003273231394515652,-0.11865789646693899,0.26110050996384515,199
US_IG_Short,RMW,0.05705188138941015,2.038208626963983,0.26110050996384515,199
US_IG_Short,CMA,-0.030904596671569615,-0.7149832068305126,0.26110050996384515,199
US_IG_Intermediate,Alpha,0.02816163703392358,0.22522207952049533,0.23786229954339222,199
US_IG_Intermediate,Mkt-RF,0.18262571259042512,4.6592421451973856,0.23786229954339222,199
US_IG_Intermediate,SMB,0.015155301663153693,0.3613853298981943,0.23786229954339222,199
US_IG_Intermediate,HML,-0.05028428287700418,-0.7738882179691897,0.23786229954339222,199
US_IG_Intermediate,RMW,0.12149910051966374,1.8139490586399125,0.23786229954339222,199
US_IG_Intermediate,CMA,-0.0500163664719232,-0.506730882369746,0.23786229954339222,199
US_IG_Long,Alpha,-0.05847823820197508,-0.2615371799580798,0.18983952027091566,199
US_IG_Long,Mkt-RF,0.3071418815929783,4.317496889990988,0.18983952027091566,199
US_IG_Long,SMB,-0.051606464362554914,-0.6682302444661452,0.18983952027091566,199
US_IG_Long,HML,-0.13465203385508967,-1.3569117474132186,0.18983952027091566,199
US_IG_Long,RMW,0.12255615868567601,1.0365551976937577,0.18983952027091566,199
US_IG_Long,CMA,-0.004160084896631208,-0.027259232408883234,0.18983952027091566,199
US_HY_Short,Alpha,-0.07529282716455599,-1.0114431783481093,0.6808988742899615,152
US_HY_Short,Mkt-RF,0.28055351607474494,10.4637993169294,0.6808988742899615,152
US_HY_Short,SMB,0.02714867693061069,0.941003671449051,0.6808988742899615,152
US_HY_Short,HML,0.09977113831505541,1.7553456695044507,0.6808988742899615,152
US_HY_Short,RMW,0.04362043041142394,1.1918119618290122,0.6808988742899615,152
US_HY_Short,CMA,-0.0437562312081019,-0.6276186430697583,0.6808988742899615,152
US_HY_Broad,Alpha,-0.07312991331598051,-0.6413362428850459,0.5557667017566033,230
US_HY_Broad,Mkt-RF,0.4518052954203732,11.49128560772676,0.5557667017566033,230
US_HY_Broad,SMB,0.08837950201286834,1.2275577551431223,0.5557667017566033,230
US_HY_Broad,HML,0.05955332410816381,1.2988989209151016,0.5557667017566033,230
US_HY_Broad,RMW,0.06514477828947438,0.9995684090661787,0.5557667017566033,230
US_HY_Broad,CMA,-0.03516304458343389,-0.48635613506237824,0.5557667017566033,230
EM_Debt_USD_Broad,Alpha,-0.10771019957229076,-0.6321172135984382,0.3744590133028245,222
EM_Debt_USD_Broad,Mkt-RF,0.435582409850907,7.815824253648044,0.3744590133028245,222
EM_Debt_USD_Broad,SMB,-2.6514261766480505e-05,-0.0003943180390107982,0.3744590133028245,222
EM_Debt_USD_Broad,HML,0.017700652379731244,0.18097516287812548,0.3744590133028245,222
EM_Debt_USD_Broad,RMW,0.20375224263261352,2.2924654642315034,0.3744590133028245,222
EM_Debt_USD_Broad,CMA,-0.062307936780685434,-0.4552138420602445,0.3744590133028245,222
EM_Debt_Local_Broad,Alpha,-0.48914617764754875,-2.500273825931682,0.3115011437111619,191
EM_Debt_Local_Broad,Mkt-RF,0.4400829086202833,10.438528871724847,0.3115011437111619,191
EM_Debt_Local_Broad,SMB,-0.09003339843975214,-1.1116515024839033,0.3115011437111619,191
EM_Debt_Local_Broad,HML,0.058198578457941616,0.5995083452254661,0.3115011437111619,191
EM_Debt_Local_Broad,RMW,0.06118342009713138,0.7138550835028403,0.3115011437111619,191
EM_Debt_Local_Broad,CMA,0.08908033767468362,0.7071840554633522,0.3115011437111619,191
EM_Debt_Local_Alt,Alpha,-0.458091044620469,-2.3005476785669714,0.2602816699878556,176
EM_Debt_Local_Alt,Mkt-RF,0.37192500855420074,8.214473369727248,0.2602816699878556,176
EM_Debt_Local_Alt,SMB,-0.0983871038625847,-1.183792571264471,0.2602816699878556,176
EM_Debt_Local_Alt,HML,0.07893015247516191,0.7492709584294013,0.2602816699878556,176
EM_Debt_Local_Alt,RMW,0.0028310904650734325,0.034341187000523736,0.2602816699878556,176
EM_Debt_Local_Alt,CMA,0.09885311162780172,0.7367923101165561,0.2602816699878556,176
UST_Short_1_3Y,Alpha,0.027204916034173382,0.7659278085770689,0.041774348873247824,246
UST_Short_1_3Y,Mkt-RF,-0.006602534905709808,-0.6306508732630052,0.041774348873247824,246
UST_Short_1_3Y,SMB,-0.004089207356876792,-0.33884169238621814,0.041774348873247824,246
