Date,AAPL,AGG,GLD,JNJ,JPM,KO,MSFT,PEP,PG,PLTR,SPY,UNH,VFISX,VNQ,VTV,VUG,XOM
1991-10-01,4.040335729825539,,,7.637959952870732,-2.4631257183692634,3.2945232963684346,5.477474729340348,0.0,-0.8773796796793132,,,18.51852023382241,,,,,2.5210140643412426
1991-11-01,-1.2192357418230104,,,1.7229232631300828,-14.646475387826463,4.492393126243921,3.5952357545552704,3.947371681367695,-3.139026836728198,,,-6.054702626982489,0.8388258828281314,,,,-2.8370748141535063
1991-12-01,11.083712176453409,,,18.80673812534459,2.1041314855868576,15.67562995515701,14.395842061296626,14.801422586754986,15.895067304535537,,,23.908582660710675,1.768280608065953,,,,3.837956987120039
1992-01-01,14.855927467506413,,,-6.1135413995964445,31.764684698946443,-3.426767194568092,8.089886802627344,-0.36904664840997636,11.119097867207772,,,11.74488815215482,-0.4581850997763981,,,,-4.312088422687744
1992-02-01,4.442138723579769,,,-5.45880906202838,20.089224678002672,5.483927467381378,2.702759060498172,-4.444387170349573,-2.0481917548697215,,,-3.9038651663385715,0.19964305314983388,,,,-0.8144413292301755
1992-03-01,-13.703771032527056,,,-3.703746534682173,-1.7187672204235005,0.3562685900003304,-4.048588867445413,6.604402586092384,0.6150327154595958,,,-0.9374859909795807,-0.24552262957354687,,,,-4.157561874265836
1992-04-01,3.218853052245585,,,-2.6922190369089605,7.251867704778703,1.529025173742582,-6.96204777173074,6.569338585596207,1.518148777375039,,,-3.432918359608328,0.9592958996265555,,,,9.589031580616702
1992-05-01,-0.6236864757005245,,,2.6048112712813376,3.9146412167057054,6.024077211737078,9.750605360001096,0.0,-0.48429657724353703,,,16.013133601262773,1.1632293886474798,,,,2.2820054383148047
1992-06-01,-19.50373942620477,,,-7.612809676481779,2.540960317013341,-8.798256033286266,-13.223166829543132,-4.102099217223465,-10.462296548087002,,,-6.47889613919812,1.233004173618335,,,,2.061848396921162
1992-07-01,-2.6039869538162397,,,10.055752425536069,-6.060603255466878,4.687531030308834,3.928584863202178,7.168479733291688,10.654004599502409,,,10.843406879876527,1.5158391952822425,,,,2.6262778363209227
1992-08-01,-1.3399879548646298,,,0.725405854732375,-6.810050127129896,2.686563190878233,2.405473999194907,0.33438556046163637,-7.407412577638405,,,-7.336983695108712,1.2112955496989875,,,,2.3346295356081237
1992-09-01,-1.9020539192802888,,,-4.556969547282108,1.3308692871184746,-5.510679061091405,8.053731188170854,1.3468245407018076,5.333255689901928,,,17.888550700701742,1.0861078570963523,,,,-0.5837081683298884
