Date,US_LC_Blend,US_LC_Value,US_LC_Growth,US_MC_Blend,US_MC_Value,US_MC_Growth,US_SC_Blend,US_SC_Value,US_SC_Growth,Intl_LC_Blend,Intl_LC_Value,Intl_LC_Growth,Intl_MidSmall_Blend,Intl_Small_Value,EM_Broad,EM_Value,EM_Small,US_IG_Short,US_IG_Intermediate,US_IG_Long,US_HY_Short,US_HY_Broad,EM_Debt_USD_Broad,EM_Debt_USD_Short,EM_Debt_Local_Broad,EM_Debt_Local_Alt,UST_Short_1_3Y,UST_Intermediate_7_10Y,UST_Long_20Y_Plus,UST_TIPS,US_REIT,Intl_REIT,Broad_Commodities,Gold
2001-03-01,-5.738553158444526,,,-7.240651037945489,-4.272793396307895,-10.663754357327914,-4.587735749679178,-4.947859646321151,-5.58970073397872,,,,,,,,,,,,,,,,,,,,,,,,,
2001-04-01,7.265297631706624,,,11.311072499979936,9.208284936324374,13.728374429244706,7.852310135938856,6.821220638717795,10.1282776983868,,,,,,,,,,,,,,,,,,,,,,,,,
2001-05-01,0.4232638752140083,,,2.2048153444039764,1.4945512542458905,2.970024187703091,2.0370390540037198,2.9137463171793776,1.5395078367858916,,,,,,,,,,,,,,,,,,,,,,,,,
2001-06-01,-2.1469815754523003,,,-0.3843314981526236,0.798313636740211,-1.3323309074847356,2.1644242743474207,2.0065200847337428,1.6610875860437524,,,,,,,,,,,,,,,,,,,,,,,,,
2001-07-01,-1.1328890896172172,,,-1.9471075678637706,-0.24044263204874294,-3.163230192757771,-0.6665851309600734,-0.22482024877843454,-1.945533722642545,,,,,,,,,,,,,,,,,,,,,,,,,
2001-08-01,-5.828525587180344,,,-2.752707842011337,-1.9062530343545325,-4.3523918853132,-1.8013543946674426,-0.9601557167249308,-2.2222273911339907,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-01,-8.60550692578268,,,-12.403943369637826,-11.134649328626434,-13.688418786742462,-14.126414924076848,-14.531973913909656,-12.90584377982592,-9.61983644042439,,,,,,,,,,,,,,,,,,,,,,,,
2001-10-01,1.7807766907780076,,,4.318866880158367,1.5221370556429914,7.624506706053968,5.736771072511515,4.5042625743661135,6.833494221329661,1.8240630913009648,,,,,,,,,,,,,,,,,,,,,,,,
2001-11-01,7.764966350722546,,,7.287076184056773,5.704699895682008,9.175867248195813,6.589915721479178,7.551671113925185,5.861776479436864,3.3443932165399426,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-01,0.5217396416927311,,,4.783576824315716,6.738479720388035,3.787893465337655,6.6613511015849225,6.834500402827737,5.761237336671421,0.6095525792533918,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-01,-1.0409042142520475,,,0.05937262097845952,-0.2762735027130647,-1.1846632294648884,1.5296363482112385,2.1441810940283856,0.06499686733849597,-5.783724039816496,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-01,-1.8560255366181222,,,-0.4051458762320048,2.305157392549839,-2.255834910603749,-2.0662290599943955,-0.424467106238946,-3.3246739145709414,1.20108694137262,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-01,3.365952044633458,,,7.26188841223232,7.129648469568206,6.80172112655586,7.78070190156257,8.719746282111075,7.3889151240221995,5.582409427450186,,,,,,,,,,,,,,,,,,,,,,,,
2002-04-01,-5.712219812002894,,,-0.2594115719995682,1.7738742603514934,-2.6382908444076425,3.183947041096147,4.032212955724979,1.1137428174873953,1.5237286888079238,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-01,-0.8059540097982931,,,-1.820351062816361,-1.6533789980305413,-1.6957985611814386,-4.264574253667153,-3.6312101330619795,-4.405912307154026,0.5330761313804055,,,,,,,,,,,,,,,,,,,,,,,,
2002-06-01,-7.185899776167504,,,-7.335169141541109,-5.901334979410466,-9.568912868676648,-5.244335902242325,-4.616098430595239,-6.104546190637883,-3.287641821977727,,,,,,,,,,,,,,,,,,,,,,,,
