Asset,Alpha,Mkt-RF,SMB,HML,RMW,CMA,US_Growth_Factor,Global_Growth_Factor,Inflation_Factor,Rates_Yields_Factor,US_Monetary_Policy_Factor,Global_Monetary_Policy_Factor,Currency_Factor,Credit_Risk_Factor,Commodities_Factor
Intl_LC_Value,0.0073877576036881255,11.924161716690989,-1.1431875225516581,5.388587608875742,0.3878818334269925,0.31142025457989264,0.9081090462963547,0.6229084450417243,-2.7407755864032914,-0.036820417530136866,-1.9011135730528015,-0.8193695550266334,-8.633239778957996,0.2581599240209168,0.6310483887107065
Intl_MidSmall_Blend,-0.08811137893030666,16.089445324507448,2.0981389348111374,1.3278740930677164,0.8358543877313972,-1.0643661778557478,0.5722511375457117,0.5150872331590822,-4.039488390469764,-0.1288137239268875,-1.4808326982480862,-1.7201850544258293,-9.094551159507137,0.6467524799393529,1.9115687017750347
Intl_REIT,0.41332638860911114,7.089609078648792,1.6462012407574071,0.462775228601445,2.341534732055084,0.9155067159635868,1.1668024187552632,-2.3908006671552475,-3.543866971972681,-1.6272998163044545,-0.23105314012703787,0.8716513555578113,-11.567997106753522,-2.076114900441911,-0.831096515740982
Intl_Small_Value,0.8398426127072346,12.574301727827644,1.4639446820377937,3.02317447461142,0.9832248785809894,-0.7899328754111934,0.38427064618603324,0.4598546751040206,-4.011748635246831,-0.45548009536082884,-1.6096904403148384,-0.8060564899892569,-8.798580103804737,-0.53794201482052,2.0955063858217615
UST_Intermediate_7_10Y,1.8639742416339693,-0.9535938974168423,-1.0207798600835896,-1.9315427649325747,1.4146576324524889,-0.037563016589836885,1.0981002222134235,-2.1908927455503964,-4.467179203123973,-0.31821353087614274,-0.07638210648333908,-0.4103964811233917,-4.2828363945530326,2.0971271395786637,-4.2443055798566585
UST_Long_20Y_Plus,1.044049601887243,-0.4109390104176572,-1.256146723109031,-1.656179681982702,0.5318074432478163,0.25419922737762035,0.9856561768286636,-2.3131093210807325,-3.3592524845890175,-1.2282202367688473,0.12742182905012994,0.7757420654520949,-1.8832184192953676,0.6230648387250732,-3.316164557896572
UST_Short_1_3Y,2.010582119948674,-2.071692730815529,-0.9239443102715911,-0.18579776242153262,1.038689986895844,-0.427250419469929,1.6642215304915025,-1.336922878800985,-3.9074094531168244,0.36299186730219296,2.6136725307891053,0.8250219953164759,-5.479306345188123,1.9680131095647015,-4.674392583948927
UST_TIPS,0.24164974544120768,1.9082838429477977,0.0870922418491874,-1.830143364784141,3.019989814832768,0.2005894738651307,0.8990895037950106,-2.7573509009876958,-2.4316326983910757,0.25276976397389456,0.9651995140480956,-0.6489449609920519,-4.271481634249646,0.5632734691611284,-1.3696015625371378
US_HY_Broad,0.013836665100238862,11.231590371600754,1.2788512285082576,1.9422291634199456,1.0323798867064709,-1.1192759011193818,0.5161838538980088,0.4887100515202591,-3.3827835339016277,-1.5595303055629715,-3.527431636440602,0.14604333248787849,-3.6025775960666646,2.5065635500818133,-0.6144951011590879
US_HY_Short,-0.5543493677254571,7.395372549154961,0.6024485229800021,1.8732860182513937,1.0607904574923888,-0.4634675420263395,-0.5740517375522106,-1.7332517677355188,-3.051126669822411,-1.9074376785015932,-3.471616671089816,0.2271804933702938,-2.628314346918218,0.20824073410625699,1.8857484116734144
